file,rate,total_requests,concurrent_connections,request_rate,reply_rate_avg,reply_rate_stdev,reply_samples,total_size,200_statuses,net_io
test_freq_0.008_per_update_traditional.txt,520,3196,1020,55.6,56.8,50.2,11,155803.0,3053,8470.7 KB/s
test_freq_0.008_per_update_traditional.txt,279,5404,1020,46.0,47.0,53.6,23,160887.0,5320,7231.6 KB/s
test_freq_0.008_per_update_traditional.txt,159,8199,1020,76.3,78.1,50.3,21,162330.0,8155,12113.0 KB/s
test_freq_0.008_per_update_traditional.txt,99,10000,27,98.9,98.9,1.1,20,163235.0,10000,15784.5 KB/s
test_freq_0.008_per_update_traditional.txt,129,10000,197,120.4,125.0,8.5,16,163235.0,10000,19216.4 KB/s
test_freq_0.008_per_update_traditional.txt,114,10000,32,113.9,113.9,1.3,17,163235.0,10000,18179.3 KB/s
test_freq_0.008_per_update_traditional.txt,121,10000,35,120.8,120.7,1.5,16,163235.0,10000,19269.6 KB/s
test_freq_0.008_per_update_traditional.txt,125,10000,52,124.8,124.8,2.0,16,163235.0,10000,19907.7 KB/s
test_freq_0.008_per_update_traditional.txt,127,10000,74,126.8,126.6,3.6,15,163235.0,10000,20226.2 KB/s
test_freq_0.008_per_update_tokyo.txt,520,5401,1020,69.5,70.8,95.0,15,56111.0,5078,3755.4 KB/s
test_freq_0.008_per_update_tokyo.txt,279,8329,1020,106.6,111.0,92.7,15,58748.0,8329,6132.1 KB/s
test_freq_0.008_per_update_tokyo.txt,159,13848,100,217.9,218.5,2.8,12,58760.0,13848,12537.3 KB/s
test_freq_0.008_per_update_tokyo.txt,219,9793,1020,117.6,122.3,92.0,16,58595.0,9763,6738.2 KB/s
test_freq_0.008_per_update_tokyo.txt,189,13008,1020,151.3,152.9,97.5,17,58706.0,12991,8697.5 KB/s
test_freq_0.008_per_update_tokyo.txt,174,13848,577,171.0,173.1,97.0,16,58754.0,13847,9836.8 KB/s
test_freq_0.008_per_update_tokyo.txt,166,13848,356,191.9,197.8,66.5,14,58760.0,13848,11039.0 KB/s
test_freq_0.008_per_update_tokyo.txt,170,13848,711,161.3,162.9,95.5,17,58760.0,13848,9281.4 KB/s
test_freq_0.008_per_update_tokyo.txt,168,13848,482,169.7,173.1,91.0,16,58760.0,13848,9764.2 KB/s
test_freq_0.008_per_update_synckit.txt,520,5052,1020,85.4,90.3,94.1,11,53508.0,4844,4433.7 KB/s
test_freq_0.008_per_update_synckit.txt,279,8654,1020,96.0,96.1,97.6,18,54743.0,8568,5148.5 KB/s
test_freq_0.008_per_update_synckit.txt,159,13848,45,219.9,219.4,2.1,12,55436.0,13848,11946.9 KB/s
test_freq_0.008_per_update_synckit.txt,219,10498,1020,109.3,110.5,93.1,19,55168.0,10449,5910.4 KB/s
test_freq_0.008_per_update_synckit.txt,189,13295,1020,167.8,176.6,90.5,15,55445.0,13295,9117.2 KB/s
test_freq_0.008_per_update_synckit.txt,174,13848,372,209.8,213.0,59.6,13,55436.0,13848,11399.6 KB/s
test_freq_0.008_per_update_synckit.txt,181,13848,778,174.0,184.6,92.2,15,55436.0,13848,9452.5 KB/s
test_freq_0.008_per_update_synckit.txt,177,13848,584,178.3,184.6,92.6,15,55436.0,13848,9688.3 KB/s
test_freq_0.008_per_update_synckit.txt,179,13848,662,181.2,184.4,92.8,15,55436.0,13848,9844.6 KB/s
