file,highest_rate,attempted_rate,avg_data
test_freq_12_per_day_traditional.txt,141.600000,143,159303.000000
test_freq_2_per_day_tokyo.txt,225.700000,193,61758.000000
test_freq_1_per_day_tokyo.txt,232.300000,195,58226.000000
test_freq_0.5_per_day_tokyo.txt,250.900000,201,57028.000000
test_freq_2_per_day_traditional.txt,150.400000,152,153143.000000
test_freq_4_per_day_traditional.txt,144.400000,146,158130.000000
test_freq_6_per_day_tokyo.txt,214.600000,186,66753.000000
test_freq_24_per_day_synckit.txt,536.300000,478,17491.000000
test_freq_0.05_per_day_traditional.txt,152.900000,154,150958.000000
test_freq_0.25_per_day_traditional.txt,154.700000,156,150245.000000
test_freq_4_per_day_synckit.txt,509.700000,448,21692.000000
test_freq_1_per_day_synckit.txt,323.800000,272,39836.000000
test_freq_18_per_day_synckit.txt,561.700000,505,13914.000000
test_freq_0.5_per_day_synckit.txt,292.200000,250,45179.000000
test_freq_18_per_day_tokyo.txt,207.700000,180,69579.000000
test_freq_12_per_day_tokyo.txt,213.700000,184,67209.000000
test_freq_4_per_day_tokyo.txt,213.600000,184,66142.000000
test_freq_12_per_day_synckit.txt,543.700000,473,15333.000000
test_freq_6_per_day_traditional.txt,141.600000,143,159091.000000
test_freq_0.5_per_day_traditional.txt,155.800000,158,149513.000000
test_freq_18_per_day_traditional.txt,137.400000,139,161900.000000
test_freq_1_per_day_traditional.txt,157.300000,160,149179.000000
test_freq_2_per_day_synckit.txt,417.800000,356,30235.000000
test_freq_0.25_per_day_synckit.txt,282.400000,220,49415.000000
test_freq_24_per_day_traditional.txt,137.500000,139,162909.000000
test_freq_6_per_day_synckit.txt,498.600000,428,18868.000000
test_freq_0.05_per_day_synckit.txt,260.900000,231,54295.000000
test_freq_24_per_day_tokyo.txt,214.800000,182,68924.000000
test_freq_0.25_per_day_tokyo.txt,272.900000,203,56602.000000
test_freq_0.05_per_day_tokyo.txt,260.700000,229,55584.000000
