file,rate,total_requests,concurrent_connections,request_rate,reply_rate_avg,reply_rate_stdev,reply_samples,total_size,200_statuses,net_io
test_freq_4_per_day_traditional.txt,279,5814,1020,97.1,104.9,48.3,11,157770.0,5807,14980.6 KB/s
test_freq_4_per_day_traditional.txt,159,9587,1020,110.9,112.6,46.5,17,157740.0,9565,17102.6 KB/s
test_freq_4_per_day_traditional.txt,99,10000,29,99.0,99.0,1.4,20,158060.0,10000,15294.3 KB/s
test_freq_4_per_day_traditional.txt,129,10000,87,128.8,128.9,5.8,15,158060.0,10000,19896.5 KB/s
test_freq_4_per_day_traditional.txt,144,10000,485,107.1,111.0,51.9,18,158042.0,9999,16544.1 KB/s
test_freq_4_per_day_traditional.txt,136,10000,56,135.8,135.6,2.9,14,158060.0,10000,20981.7 KB/s
test_freq_4_per_day_traditional.txt,140,10000,277,106.5,111.1,51.6,18,158060.0,10000,16462.2 KB/s
test_freq_4_per_day_traditional.txt,138,10000,88,137.0,136.9,2.2,14,158060.0,10000,21170.0 KB/s
test_freq_6_per_day_tokyo.txt,520,5509,1020,118.6,117.0,107.2,9,60619.0,4902,6832.9 KB/s
test_freq_6_per_day_tokyo.txt,279,8510,1020,142.4,153.8,81.9,11,65458.0,8389,9106.6 KB/s
test_freq_6_per_day_tokyo.txt,159,11872,115,188.4,187.5,10.6,12,66413.0,11872,12246.4 KB/s
test_freq_6_per_day_tokyo.txt,219,10729,1020,154.0,164.2,80.3,13,66456.0,10729,10015.4 KB/s
test_freq_6_per_day_tokyo.txt,189,11872,584,155.5,158.3,90.2,15,66413.0,11872,10110.5 KB/s
test_freq_6_per_day_tokyo.txt,174,11872,93,206.3,205.7,9.2,11,66413.0,11872,13408.8 KB/s
test_freq_6_per_day_tokyo.txt,181,11872,173,176.7,182.6,70.7,13,66413.0,11872,11484.3 KB/s
test_freq_6_per_day_tokyo.txt,177,11872,45,209.9,208.9,8.1,11,66413.0,11872,13640.8 KB/s
test_freq_6_per_day_tokyo.txt,179,11872,80,210.9,210.3,8.5,11,66413.0,11872,13710.8 KB/s
test_freq_24_per_day_synckit.txt,520,11692,415,467.8,573.6,26.4,4,13711.0,11692,6345.2 KB/s
test_freq_24_per_day_synckit.txt,279,11692,56,326.2,324.9,8.2,7,13711.0,11692,4424.2 KB/s
test_freq_24_per_day_synckit.txt,399,11692,112,464.3,464.6,10.1,5,13711.0,11692,6297.4 KB/s
test_freq_24_per_day_synckit.txt,459,11692,161,531.6,534.0,5.3,4,13711.0,11692,7209.9 KB/s
test_freq_24_per_day_synckit.txt,489,11692,207,499.6,566.4,9.5,4,13711.0,11692,6775.3 KB/s
test_freq_24_per_day_synckit.txt,504,11692,188,513.3,581.1,13.3,4,13711.0,11692,6961.8 KB/s
test_freq_24_per_day_synckit.txt,512,11692,214,517.2,580.9,31.4,4,13711.0,11692,7015.0 KB/s
test_freq_24_per_day_synckit.txt,516,11692,292,522.2,578.6,19.5,4,13711.0,11692,7083.0 KB/s
test_freq_24_per_day_synckit.txt,518,11692,445,488.3,577.6,6.9,4,13711.0,11692,6622.2 KB/s
test_freq_0.05_per_day_traditional.txt,520,3676,1020,70.7,73.2,58.8,10,153931.0,3676,10639.3 KB/s
test_freq_0.05_per_day_traditional.txt,279,5436,1020,74.3,76.9,54.5,14,150830.0,5325,10957.0 KB/s
test_freq_0.05_per_day_traditional.txt,159,10000,965,115.1,117.5,51.2,17,153886.0,9991,17311.7 KB/s
test_freq_0.05_per_day_traditional.txt,99,10000,23,99.0,99.0,0.9,20,154014.0,10000,14903.4 KB/s
test_freq_0.05_per_day_traditional.txt,129,10000,70,128.8,128.5,3.3,15,154014.0,10000,19387.7 KB/s
test_freq_0.05_per_day_traditional.txt,144,10000,88,143.8,143.6,4.3,13,154014.0,10000,21643.6 KB/s
test_freq_0.05_per_day_traditional.txt,151,10000,476,111.3,117.6,53.6,17,154014.0,10000,16757.9 KB/s
test_freq_0.05_per_day_traditional.txt,147,10000,423,111.0,111.1,56.8,18,154014.0,10000,16708.8 KB/s
test_freq_0.05_per_day_traditional.txt,145,10000,87,143.9,143.9,1.8,13,154014.0,10000,21663.4 KB/s
test_freq_0.25_per_day_traditional.txt,520,3731,1020,69.7,74.2,61.8,10,138752.0,3517,9451.6 KB/s
test_freq_0.25_per_day_traditional.txt,279,6176,1020,102.8,102.9,60.0,12,143800.0,6041,14458.0 KB/s
test_freq_0.25_per_day_traditional.txt,159,10000,624,115.8,117.6,59.7,17,147697.0,10000,16726.7 KB/s
test_freq_0.25_per_day_traditional.txt,99,10000,19,98.4,99.0,1.1,20,147697.0,10000,14214.5 KB/s
test_freq_0.25_per_day_traditional.txt,129,10000,75,128.8,128.5,5.3,15,147697.0,10000,18594.7 KB/s
test_freq_0.25_per_day_traditional.txt,144,10000,71,143.8,143.8,3.9,13,147697.0,10000,20758.3 KB/s
test_freq_0.25_per_day_traditional.txt,151,10000,66,150.8,150.7,3.0,13,147697.0,10000,21770.7 KB/s
test_freq_0.25_per_day_traditional.txt,155,10000,332,116.8,117.6,60.9,17,147697.0,10000,16857.9 KB/s
test_freq_0.25_per_day_traditional.txt,153,10000,220,131.6,133.3,44.3,15,147697.0,10000,19003.0 KB/s
test_freq_4_per_day_synckit.txt,520,12079,1020,387.4,401.9,256.4,6,22628.0,12039,8626.3 KB/s
test_freq_4_per_day_synckit.txt,279,12088,83,337.2,336.6,5.9,7,22631.0,12088,7510.1 KB/s
test_freq_4_per_day_synckit.txt,399,12088,467,389.4,402.6,175.3,6,22631.0,12088,8671.1 KB/s
test_freq_4_per_day_synckit.txt,339,12088,111,409.7,408.2,3.4,5,22631.0,12088,9123.4 KB/s
test_freq_4_per_day_synckit.txt,369,12088,263,406.7,443.4,26.8,5,22631.0,12088,9057.2 KB/s
test_freq_4_per_day_synckit.txt,384,12088,443,249.2,268.6,220.0,9,22631.0,12088,5549.2 KB/s
test_freq_4_per_day_synckit.txt,376,12088,297,392.1,401.6,105.9,6,22631.0,12088,8730.9 KB/s
test_freq_4_per_day_synckit.txt,380,12088,207,360.6,402.5,130.0,6,22631.0,12088,8030.1 KB/s
test_freq_4_per_day_synckit.txt,378,12088,549,248.2,268.6,221.3,9,22631.0,12088,5526.3 KB/s
test_freq_1_per_day_synckit.txt,520,7303,1020,233.9,241.9,129.1,6,39110.0,7283,8965.6 KB/s
test_freq_1_per_day_synckit.txt,279,12024,523,201.2,218.3,147.4,11,38966.0,12024,7691.2 KB/s
test_freq_1_per_day_synckit.txt,159,12024,18,190.9,191.2,4.7,12,38966.0,12024,7295.8 KB/s
test_freq_1_per_day_synckit.txt,219,12024,58,262.6,263.6,8.3,9,38966.0,12024,10038.0 KB/s
test_freq_1_per_day_synckit.txt,249,12024,144,296.3,296.7,8.5,8,38966.0,12024,11325.2 KB/s
test_freq_1_per_day_synckit.txt,264,12024,270,316.3,318.5,15.4,7,38966.0,12024,12091.4 KB/s
test_freq_1_per_day_synckit.txt,271,12024,117,325.4,325.3,8.6,7,38966.0,12024,12438.3 KB/s
test_freq_1_per_day_synckit.txt,275,12024,214,307.6,327.2,8.5,7,38966.0,12024,11758.9 KB/s
test_freq_1_per_day_synckit.txt,277,12024,63,331.8,332.9,1.4,7,38966.0,12024,12681.7 KB/s
test_freq_18_per_day_synckit.txt,520,11908,493,408.3,476.1,244.6,5,15363.0,11908,6195.3 KB/s
test_freq_18_per_day_synckit.txt,279,11908,69,332.2,330.5,8.9,7,15363.0,11908,5041.3 KB/s
test_freq_18_per_day_synckit.txt,399,11908,123,473.3,471.7,4.0,5,15363.0,11908,7181.9 KB/s
