test,page,strategy,visitnumber,ttr,datafetch,databulkload,templateparse,latency,bandwidth,date
GID,Blog,Auto,14,2182,51,1369,84,1,1,2010-05-18 20:35:41.596502-04
GID,Blog,Auto,15,2386,92,1426,116,1,1,2010-05-18 20:35:45.057697-04
GID,Blog,Auto,16,2933,84,1766,91,1,1,2010-05-18 20:35:48.913729-04
GID,Blog,Auto,17,2817,88,1802,93,1,1,2010-05-18 20:35:52.682288-04
GID,Blog,Auto,18,2889,92,1836,99,1,1,2010-05-18 20:35:56.673919-04
GID,Blog,Auto,19,3171,88,1972,96,1,1,2010-05-18 20:36:00.783661-04
GID,Blog,Auto,20,3140,88,1967,96,1,1,2010-05-18 20:36:04.836385-04
GID,Blog,Auto,21,3051,99,1959,101,1,1,2010-05-18 20:36:09.01401-04
GID,Blog,Auto,22,2727,90,1666,119,1,1,2010-05-18 20:36:12.700421-04
GID,Blog,Auto,23,3954,84,2925,111,1,1,2010-05-18 20:36:17.605641-04
GID,Blog,Auto,5,2052,50,1281,98,1,1,2010-05-18 20:36:45.524298-04
GID,Blog,Auto,9,2059,50,1289,80,1,1,2010-05-18 20:36:57.160491-04
GID,Blog,Auto,10,2055,47,1263,85,1,1,2010-05-18 20:37:00.168101-04
GID,Blog,Auto,11,2020,51,1257,85,1,1,2010-05-18 20:37:03.248909-04
GID,Blog,Auto,12,1902,48,1170,87,1,1,2010-05-18 20:37:06.123292-04
GID,Blog,Auto,13,1975,51,1259,52,1,1,2010-05-18 20:37:09.048328-04
GID,Blog,Auto,14,2151,107,1334,89,1,1,2010-05-18 20:37:12.102665-04
GID,Blog,Auto,15,2161,47,1344,85,1,1,2010-05-18 20:37:15.226788-04
GID,Blog,Auto,3,2410,50,1559,99,1,1,2010-05-18 20:36:38.959414-04
GID,Blog,Auto,4,2487,90,1525,97,1,1,2010-05-18 20:36:42.502321-04
GID,Blog,Auto,23,3992,73,3093,102,1,1,2010-05-18 20:37:47.002318-04
GID,Blog,Auto,3,2520,50,1748,92,1,1,2010-05-18 20:38:04.107334-04
GID,Blog,Auto,23,4456,199,2896,100,1,1,2010-05-18 20:39:16.853485-04
GID,Blog,Auto,24,5042,214,2907,102,1,1,2010-05-18 20:39:23.169154-04
GID,Blog,Auto,25,3717,107,2478,106,1,1,2010-05-18 20:39:27.79485-04
GID,Blog,Auto,26,2565,109,1247,89,1,1,2010-05-18 20:39:31.536486-04
GID,Blog,Auto,27,2409,84,1374,92,1,1,2010-05-18 20:39:34.850521-04
GID,Blog,Auto,28,2217,49,1449,92,1,1,2010-05-18 20:39:38.0446-04
GID,Blog,Auto,1,2545,52,1770,100,1,1,2010-05-18 20:39:42.075738-04
GID,Blog,Auto,2,2475,84,1422,96,1,1,2010-05-18 20:39:45.54794-04
GID,Blog,Auto,3,2180,49,1410,96,1,1,2010-05-18 20:39:48.701098-04
GID,Blog,Auto,4,2220,51,1471,96,1,1,2010-05-18 20:39:51.954276-04
GID,Blog,Auto,5,2181,50,1369,97,1,1,2010-05-18 20:39:55.137813-04
GID,Blog,Auto,6,2351,82,1445,97,1,1,2010-05-18 20:39:58.50059-04
GID,Blog,Auto,7,2253,51,1459,97,1,1,2010-05-18 20:40:01.740887-04
GID,Blog,Auto,8,2040,51,1235,64,1,1,2010-05-18 20:40:04.761522-04
GID,Blog,Auto,9,2049,52,1258,98,1,1,2010-05-18 20:40:07.823607-04
GID,Blog,Auto,10,2275,87,1338,98,1,1,2010-05-18 20:40:11.069536-04
GID,Blog,Auto,11,2050,51,1236,97,1,1,2010-05-18 20:40:14.083906-04
GID,Blog,Auto,12,1986,46,1252,83,1,1,2010-05-18 20:40:17.069591-04
GID,Blog,Auto,7,1858,47,1152,83,1,1,2010-05-18 20:36:51.211497-04
GID,Blog,Auto,24,2389,57,1582,72,1,1,2010-05-18 20:37:50.293765-04
GID,Blog,Auto,5,2283,83,1379,96,1,1,2010-05-18 20:38:11.312431-04
GID,Blog,Auto,8,2354,51,1539,102,1,1,2010-05-18 20:38:20.878603-04
GID,Blog,Auto,9,2297,52,1472,55,1,1,2010-05-18 20:38:24.143302-04
GID,Blog,Auto,10,2429,83,1512,89,1,1,2010-05-18 20:38:27.509426-04
GID,Blog,Auto,11,2274,49,1483,89,1,1,2010-05-18 20:38:30.751038-04
GID,Blog,Auto,12,2166,49,1360,88,1,1,2010-05-18 20:38:33.932911-04
GID,Blog,Auto,13,1972,50,1264,92,1,1,2010-05-18 20:38:36.87735-04
GID,Blog,Auto,14,2009,49,1260,93,1,1,2010-05-18 20:38:39.867088-04
GID,Blog,Auto,15,2093,50,1295,95,1,1,2010-05-18 20:38:42.959088-04
GID,Blog,Auto,16,2034,48,1283,86,1,1,2010-05-18 20:38:45.925691-04
GID,Blog,Auto,17,1861,50,1092,89,1,1,2010-05-18 20:38:48.77269-04
GID,Blog,Auto,18,1802,49,1114,89,1,1,2010-05-18 20:38:51.525871-04
GID,Blog,Auto,15,1722,50,1048,87,1,1,2010-05-18 20:40:25.495114-04
GID,Blog,Auto,18,3030,101,1708,90,1,1,2010-05-18 20:40:35.270234-04
GID,Blog,Auto,23,2344,51,1602,86,1,1,2010-05-18 20:40:51.174181-04
GID,Blog,Auto,25,2084,49,1319,92,1,1,2010-05-18 20:40:57.539915-04
GID,Blog,Auto,11,2262,52,1511,99,1,1,2010-05-18 20:41:54.132891-04
GID,Blog,Auto,3,1962,52,1224,99,1,1,2010-05-18 20:42:41.924462-04
GID,Blog,Auto,9,2414,48,1616,87,1,1,2010-05-18 20:43:01.090499-04
GID,Blog,Auto,10,2502,50,1669,92,1,1,2010-05-18 20:43:04.562112-04
GID,Blog,Auto,8,1952,48,1164,84,1,1,2010-05-18 20:36:54.134907-04
GID,Blog,Auto,1,2440,51,1719,95,1,1,2010-05-18 20:37:57.116552-04
GID,Blog,Auto,6,2143,52,1307,96,1,1,2010-05-18 20:38:14.394022-04
GID,Blog,Auto,19,3445,87,2231,91,1,1,2010-05-18 20:38:55.931427-04
GID,Blog,Auto,22,3950,95,2668,97,1,1,2010-05-18 20:39:11.438097-04
GID,Blog,Auto,24,2251,84,1303,88,1,1,2010-05-18 20:40:54.449846-04
GID,Blog,Auto,29,1956,49,1185,96,1,1,2010-05-18 20:41:09.887971-04
GID,Blog,Auto,31,1933,48,1154,85,1,1,2010-05-18 20:41:15.690601-04
GID,Blog,Auto,32,2052,48,1317,83,1,1,2010-05-18 20:41:18.727333-04
GID,Blog,Auto,1,2314,52,1474,96,1,1,2010-05-18 20:41:22.290087-04
GID,Blog,Auto,2,2256,51,1445,92,1,1,2010-05-18 20:41:25.52735-04
GID,Blog,Auto,3,2237,73,1371,92,1,1,2010-05-18 20:41:28.765533-04
GID,Blog,Auto,4,2265,50,1417,96,1,1,2010-05-18 20:41:32.043751-04
GID,Blog,Auto,5,2045,48,1239,87,1,1,2010-05-18 20:41:35.087801-04
