test,page,strategy,visitnumber,ttr,datafetch,databulkload,templateparse,latency,bandwidth,date
Feb 2,Blog,Sync Kit,3,199,86,15,13,1,1,2010-02-01 21:04:44.872593-05
Feb 2,Blog,Sync Kit,4,223,112,15,14,1,1,2010-02-01 21:04:45.946233-05
Feb 2,Blog,Sync Kit,5,228,114,16,14,1,1,2010-02-01 21:04:47.029431-05
Feb 2,Blog,Sync Kit,1,257,143,16,14,1,1,2010-02-01 21:04:48.14822-05
Feb 2,Blog,Sync Kit,2,219,101,15,15,1,1,2010-02-01 21:04:49.22853-05
Feb 2,Blog,Sync Kit,3,237,115,15,14,1,1,2010-02-01 21:04:50.320361-05
Feb 2,Blog,Sync Kit,4,211,99,15,13,1,1,2010-02-01 21:04:51.386024-05
Feb 2,Blog,Sync Kit,5,225,112,15,14,1,1,2010-02-01 21:04:52.459549-05
Feb 2,Blog,Sync Kit,1,257,144,15,15,1,1,2010-02-01 21:04:53.587923-05
Feb 2,Blog,Sync Kit,2,258,142,15,15,1,1,2010-02-01 21:04:54.713766-05
Feb 2,Blog,Sync Kit,3,198,84,15,14,1,1,2010-02-01 21:04:55.769357-05
Feb 2,Blog,Sync Kit,4,223,111,15,14,1,1,2010-02-01 21:04:56.844238-05
Feb 2,Blog,Sync Kit,5,231,117,16,14,1,1,2010-02-01 21:04:57.934376-05
Feb 2,Blog,Sync Kit,1,254,143,15,15,1,1,2010-02-01 21:04:59.046582-05
Feb 2,Blog,Sync Kit,2,259,143,16,14,1,1,2010-02-01 21:05:00.164525-05
Feb 2,Blog,Sync Kit,3,200,87,15,13,1,1,2010-02-01 21:05:01.224657-05
Feb 2,Blog,Sync Kit,4,224,111,15,14,1,1,2010-02-01 21:05:02.328735-05
Feb 2,Blog,Sync Kit,5,229,114,15,13,1,1,2010-02-01 21:05:03.442626-05
Feb 2,Blog,Sync Kit,1,257,141,16,16,1,1,2010-02-01 21:05:04.591782-05
Feb 2,Blog,Sync Kit,2,257,140,16,14,1,1,2010-02-01 21:05:05.746181-05
Feb 2,Blog,Sync Kit,3,199,86,15,14,1,1,2010-02-01 21:05:06.834493-05
Feb 2,Blog,Sync Kit,4,225,112,15,15,1,1,2010-02-01 21:05:07.921904-05
Feb 2,Blog,Sync Kit,5,213,100,15,14,1,1,2010-02-01 21:05:08.993195-05
Feb 2,Blog,Sync Kit,6,238,127,14,15,1,1,2010-02-01 21:05:10.098299-05
Feb 2,Blog,Sync Kit,2,260,141,16,14,1,1,2010-02-01 21:05:12.374962-05
Feb 2,Blog,Sync Kit,4,225,112,15,15,1,1,2010-02-01 21:05:14.501888-05
Feb 2,Blog,Sync Kit,6,239,126,15,15,1,1,2010-02-01 21:05:16.681015-05
Feb 2,Blog,Sync Kit,1,259,143,16,15,1,1,2010-02-01 21:05:17.837193-05
Feb 2,Blog,Sync Kit,3,200,87,15,13,1,1,2010-02-01 21:05:20.022062-05
Feb 2,Blog,Sync Kit,4,226,113,16,14,1,1,2010-02-01 21:05:21.104716-05
Feb 2,Blog,Sync Kit,6,253,139,16,14,1,1,2010-02-01 21:05:23.281163-05
Feb 2,Blog,Sync Kit,1,262,144,17,15,1,1,2010-02-01 21:05:24.406513-05
Feb 2,Blog,Sync Kit,2,268,153,16,15,1,1,2010-02-01 21:05:25.539435-05
Feb 2,Blog,Sync Kit,3,197,84,14,13,1,1,2010-02-01 21:05:26.59644-05
Feb 2,Blog,Sync Kit,5,228,115,15,14,1,1,2010-02-01 21:05:28.762851-05
Feb 2,Blog,Sync Kit,6,247,125,15,14,1,1,2010-02-01 21:05:29.864258-05
Feb 2,Blog,Sync Kit,1,261,145,16,14,1,1,2010-02-01 21:05:30.984048-05
Feb 2,Blog,Sync Kit,2,229,115,15,13,1,1,2010-02-01 21:05:32.131456-05
Feb 2,Blog,Sync Kit,3,239,125,15,14,1,1,2010-02-01 21:05:33.244655-05
Feb 2,Blog,Sync Kit,4,228,114,14,13,1,1,2010-02-01 21:05:34.378128-05
Feb 2,Blog,Sync Kit,5,229,116,15,14,1,1,2010-02-01 21:05:35.476508-05
Feb 2,Blog,Sync Kit,1,254,141,15,14,1,1,2010-02-01 21:05:36.622179-05
Feb 2,Blog,Sync Kit,3,240,126,16,14,1,1,2010-02-01 21:05:38.793964-05
Feb 2,Blog,Sync Kit,5,225,113,14,14,1,1,2010-02-01 21:05:40.952503-05
Feb 2,Blog,Sync Kit,1,213,99,16,13,1,1,2010-02-01 21:05:42.025044-05
Feb 2,Blog,Sync Kit,5,225,111,16,14,1,1,2010-02-01 21:05:46.449551-05
Feb 2,Blog,Sync Kit,3,204,89,14,13,1,1,2010-02-01 21:05:50.828714-05
Feb 2,Blog,Sync Kit,4,208,98,14,13,1,1,2010-02-01 21:05:51.885903-05
Feb 2,Blog,Sync Kit,5,213,101,15,13,1,1,2010-02-01 21:05:52.947759-05
Feb 2,Blog,Sync Kit,1,259,142,16,14,1,1,2010-02-01 21:05:54.06493-05
Feb 2,Blog,Sync Kit,2,185,74,14,13,1,1,2010-02-01 21:05:55.110352-05
Feb 2,Blog,Sync Kit,3,225,112,15,14,1,1,2010-02-01 21:05:56.184477-05
Feb 2,Blog,Sync Kit,4,214,102,15,13,1,1,2010-02-01 21:05:57.255208-05
Feb 2,Blog,Sync Kit,1,230,117,15,14,1,1,2010-02-01 21:05:59.449536-05
Feb 2,Blog,Sync Kit,2,245,125,16,14,1,1,2010-02-01 21:06:00.569528-05
Feb 2,Blog,Sync Kit,3,258,143,16,15,1,1,2010-02-01 21:06:01.722179-05
Feb 2,Blog,Sync Kit,4,200,86,15,13,1,1,2010-02-01 21:06:02.819473-05
Feb 2,Blog,Sync Kit,5,208,96,15,13,1,1,2010-02-01 21:06:03.904697-05
Feb 2,Blog,Sync Kit,6,213,102,15,13,1,1,2010-02-01 21:06:05.000624-05
Feb 2,Blog,Sync Kit,1,262,142,16,18,1,1,2010-02-01 21:05:11.235398-05
Feb 2,Blog,Sync Kit,3,187,75,15,13,1,1,2010-02-01 21:05:13.42036-05
Feb 2,Blog,Sync Kit,5,211,102,15,13,1,1,2010-02-01 21:05:15.568593-05
Feb 2,Blog,Sync Kit,2,263,143,16,15,1,1,2010-02-01 21:05:18.96243-05
Feb 2,Blog,Sync Kit,5,215,101,15,14,1,1,2010-02-01 21:05:22.170814-05
Feb 2,Blog,Sync Kit,4,225,113,16,14,1,1,2010-02-01 21:05:27.678052-05
Feb 2,Blog,Sync Kit,2,213,99,15,13,1,1,2010-02-01 21:05:37.695346-05
Feb 2,Blog,Sync Kit,4,221,101,14,14,1,1,2010-02-01 21:05:39.873888-05
Feb 2,Blog,Sync Kit,2,253,138,16,15,1,1,2010-02-01 21:05:43.172163-05
Feb 2,Blog,Sync Kit,3,259,145,16,14,1,1,2010-02-01 21:05:44.311549-05
Feb 2,Blog,Sync Kit,4,187,74,14,13,1,1,2010-02-01 21:05:45.3607-05
Feb 2,Blog,Sync Kit,6,226,113,15,14,1,1,2010-02-01 21:05:47.527522-05
Feb 2,Blog,Sync Kit,1,242,127,16,14,1,1,2010-02-01 21:05:48.644014-05
Feb 2,Blog,Sync Kit,2,261,147,16,15,1,1,2010-02-01 21:05:49.763081-05
Feb 2,Blog,Sync Kit,5,225,112,15,14,1,1,2010-02-01 21:05:58.329862-05
Feb 2,Blog,Sync Kit,5,218,104,15,13,1,1,2010-02-01 21:06:10.462112-05
Feb 2,Blog,Sync Kit,6,252,137,16,14,1,1,2010-02-01 21:06:18.195825-05
Feb 2,Blog,Sync Kit,3,253,136,16,16,1,1,2010-02-01 21:06:28.093815-05
Feb 2,Blog,Sync Kit,4,262,145,16,15,1,1,2010-02-01 21:06:29.223162-05
Feb 2,Blog,Sync Kit,5,201,88,14,14,1,1,2010-02-01 21:06:30.286329-05
Feb 2,Blog,Sync Kit,6,225,112,16,14,1,1,2010-02-01 21:06:31.362016-05
Feb 2,Blog,Sync Kit,1,259,143,16,15,1,1,2010-02-01 21:06:32.524847-05
Feb 2,Blog,Sync Kit,2,258,143,16,14,1,1,2010-02-01 21:06:33.670894-05
Feb 2,Blog,Sync Kit,3,201,88,14,13,1,1,2010-02-01 21:06:34.761901-05
Feb 2,Blog,Sync Kit,4,224,111,15,14,1,1,2010-02-01 21:06:35.850476-05
Feb 2,Blog,Sync Kit,4,227,114,15,14,1,1,2010-02-01 21:06:42.411065-05
Feb 2,Blog,Sync Kit,5,215,101,15,14,1,1,2010-02-01 21:06:43.484833-05
Feb 2,Blog,Sync Kit,2,200,87,14,13,1,1,2010-02-01 21:06:53.362814-05
Feb 2,Blog,Sync Kit,1,256,139,16,15,1,1,2010-02-01 21:06:57.76645-05
Feb 2,Blog,Sync Kit,2,256,140,16,14,1,1,2010-02-01 21:06:58.890508-05
Feb 2,Blog,Sync Kit,5,212,100,15,13,1,1,2010-02-01 21:07:02.152004-05
Feb 2,Blog,Sync Kit,1,218,100,15,14,1,1,2010-02-01 21:18:57.886189-05
Feb 2,Blog,Sync Kit,1,263,140,16,15,1,1,2010-02-01 21:19:02.38332-05
Feb 2,Blog,Sync Kit,1,261,140,17,14,1,1,2010-02-01 21:19:07.952427-05
Feb 2,Blog,Sync Kit,2,251,132,15,15,1,1,2010-02-01 21:19:11.375502-05
Feb 2,Blog,Sync Kit,1,216,99,14,14,1,1,2010-02-01 21:19:12.451016-05
Feb 2,Blog,Sync Kit,1,261,140,16,15,1,1,2010-02-01 21:19:13.570439-05
Feb 2,Blog,Sync Kit,2,247,127,15,15,1,1,2010-02-01 21:18:54.605832-05
