file,strategy,frequency,highest_rate,attempted_rate,avg_data
test_freq_4_per_update_tokyo.txt,Flying Templates,4,160.200000,150,73501.000000
test_freq_0.08_per_update_synckit.txt3,Sync Kit,0.08,236.300000,214,39164.000000
test_freq_0.08_per_update_synckit.txt1,Sync Kit,0.08,221.000000,221,36916.000000
test_freq_0.08_per_update_synckit.txt2,Sync Kit,0.08,229.800000,221,36746.000000
test_freq_0.008_per_update_synckit.txt1,Sync Kit,0.008,275.000000,182,57112.000000
test_freq_0.008_per_update_synckit.txt2,Sync Kit,0.008,219.600000,182,55436.000000
test_freq_0.008_per_update_synckit.txt3,Sync Kit,0.008,237.300000,188,55654.000000
