test,page,strategy,visitnumber,ttr,datafetch,databulkload,templateparse,latency,bandwidth,date
Test,Wiki,Flying Templates,9,305,23,0,10,1,1,2010-02-05 14:19:28.820223-05
Test,Wiki,Flying Templates,14,271,27,0,10,1,1,2010-02-05 14:19:40.190127-05
Test,Wiki,Flying Templates,1,299,23,0,10,1,1,2010-02-05 14:19:41.340747-05
Test,Wiki,Flying Templates,13,223,21,0,11,1,1,2010-02-05 14:17:48.055798-05
Test,Wiki,Flying Templates,4,307,23,0,11,1,1,2010-02-05 14:18:11.621942-05
Test,Wiki,Flying Templates,4,237,22,0,11,1,1,2010-02-05 14:18:12.931738-05
Test,Wiki,Flying Templates,11,245,23,0,11,1,1,2010-02-05 14:18:32.896524-05
Test,Wiki,Flying Templates,11,294,22,0,10,1,1,2010-02-05 14:18:36.583307-05
Test,Wiki,Flying Templates,11,241,22,0,11,1,1,2010-02-05 14:18:37.882493-05
Test,Wiki,Flying Templates,11,299,24,0,10,1,1,2010-02-05 14:18:41.529438-05
Test,Wiki,Flying Templates,11,242,23,0,10,1,1,2010-02-05 14:18:42.849798-05
Test,Wiki,Flying Templates,14,252,23,0,10,1,1,2010-02-05 14:18:50.293368-05
Test,Wiki,Flying Templates,15,238,22,0,11,1,1,2010-02-05 14:18:55.236656-05
Test,Wiki,Flying Templates,16,290,22,0,10,1,1,2010-02-05 14:18:58.890907-05
Test,Wiki,Flying Templates,1,241,23,0,10,1,1,2010-02-05 14:19:00.236261-05
Test,Wiki,Flying Templates,2,250,23,0,10,1,1,2010-02-05 14:19:02.736116-05
Test,Wiki,Flying Templates,2,299,23,0,10,1,1,2010-02-05 14:19:03.86737-05
Test,Wiki,Flying Templates,3,313,22,0,10,1,1,2010-02-05 14:19:08.889063-05
Test,Wiki,Flying Templates,3,262,23,0,11,1,1,2010-02-05 14:19:10.234998-05
Test,Wiki,Flying Templates,4,275,24,0,10,1,1,2010-02-05 14:19:12.747005-05
Test,Wiki,Flying Templates,6,244,28,0,10,1,1,2010-02-05 14:19:20.193369-05
Test,Wiki,Flying Templates,7,323,23,0,11,1,1,2010-02-05 14:19:21.366621-05
Test,Wiki,Flying Templates,8,300,22,0,10,1,1,2010-02-05 14:19:23.820428-05
Test,Wiki,Flying Templates,6,248,22,0,10,1,1,2010-02-05 14:18:20.39678-05
Test,Wiki,Flying Templates,6,293,21,0,10,1,1,2010-02-05 14:18:21.540281-05
Test,Wiki,Flying Templates,7,306,23,0,12,1,1,2010-02-05 14:18:25.487699-05
Test,Wiki,Flying Templates,9,304,24,0,10,1,1,2010-02-05 14:18:29.031532-05
Test,Wiki,Flying Templates,11,257,23,0,11,1,1,2010-02-05 14:18:40.38525-05
Test,Wiki,Flying Templates,12,295,70,0,11,1,1,2010-02-05 14:18:45.386173-05
Test,Wiki,Flying Templates,12,246,24,0,10,1,1,2010-02-05 14:18:47.80508-05
Test,Wiki,Flying Templates,14,301,24,0,10,1,1,2010-02-05 14:18:51.449934-05
Test,Wiki,Flying Templates,16,297,23,0,10,1,1,2010-02-05 14:18:56.380686-05
Test,Wiki,Flying Templates,16,251,24,0,10,1,1,2010-02-05 14:18:57.760512-05
Test,Wiki,Flying Templates,13,320,23,0,10,1,1,2010-02-05 14:19:38.842217-05
Test,Wiki,Flying Templates,8,286,25,0,10,1,1,2010-02-05 14:19:56.318384-05
Test,Wiki,Flying Templates,11,305,23,0,10,1,1,2010-02-05 14:20:03.838476-05
Test,Wiki,Flying Templates,12,247,24,0,11,1,1,2010-02-05 14:20:05.213449-05
Test,Wiki,Flying Templates,13,307,23,0,11,1,1,2010-02-05 14:20:06.371296-05
Test,Wiki,Flying Templates,7,292,24,0,11,1,1,2010-02-05 14:20:21.392881-05
Test,Wiki,Flying Templates,9,328,23,0,10,1,1,2010-02-05 14:20:23.92353-05
Test,Wiki,Flying Templates,11,262,25,0,11,1,1,2010-02-05 14:20:30.292768-05
Test,Wiki,Flying Templates,12,304,25,0,10,1,1,2010-02-05 14:20:31.443933-05
Test,Wiki,Flying Templates,12,288,24,0,11,1,1,2010-02-05 14:20:32.825108-05
Test,Wiki,Flying Templates,11,308,23,0,11,1,1,2010-02-05 14:18:34.040986-05
Test,Wiki,Flying Templates,11,291,24,0,10,1,1,2010-02-05 14:18:39.017906-05
Test,Wiki,Flying Templates,12,297,22,0,10,1,1,2010-02-05 14:18:43.982294-05
Test,Wiki,Flying Templates,14,243,22,0,10,1,1,2010-02-05 14:18:52.758644-05
Test,Wiki,Flying Templates,8,317,23,0,10,1,1,2010-02-05 14:19:26.343151-05
Test,Wiki,Flying Templates,4,292,25,0,11,1,1,2010-02-05 14:19:46.312478-05
Test,Wiki,Flying Templates,6,249,28,0,11,1,1,2010-02-05 14:19:50.179097-05
Test,Wiki,Flying Templates,6,295,24,0,10,1,1,2010-02-05 14:19:53.840789-05
Test,Wiki,Flying Templates,6,258,24,0,11,1,1,2010-02-05 14:20:20.246442-05
Test,Wiki,Flying Templates,10,258,24,0,11,1,1,2010-02-05 14:20:25.270781-05
Test,Wiki,Flying Templates,11,250,23,0,10,1,1,2010-02-05 14:20:27.768052-05
Test,Wiki,Flying Templates,11,311,25,0,10,1,1,2010-02-05 14:20:28.913395-05
Test,Wiki,Flying Templates,14,293,24,0,10,1,1,2010-02-05 14:20:46.43226-05
