test,page,strategy,visitnumber,ttr,datafetch,databulkload,templateparse,latency,bandwidth,date
Test,Wiki,Sync Kit,3,339,30,2,11,1,1,2010-02-10 17:28:40.679593-05
Test,Wiki,Sync Kit,4,335,22,1,11,1,1,2010-02-10 17:28:43.260623-05
Test,Wiki,Sync Kit,8,377,21,2,11,1,1,2010-02-10 17:29:02.233397-05
Test,Wiki,Sync Kit,11,343,22,1,12,1,1,2010-02-10 17:29:13.455965-05
Test,Wiki,Sync Kit,11,365,0,0,11,1,1,2010-02-10 17:29:14.77483-05
Test,Wiki,Sync Kit,12,289,28,1,12,1,1,2010-02-10 17:29:18.21828-05
Test,Wiki,Sync Kit,12,342,0,0,11,1,1,2010-02-10 17:29:19.529628-05
Test,Wiki,Sync Kit,12,310,0,0,11,1,1,2010-02-10 17:29:20.696092-05
Test,Wiki,Sync Kit,12,421,94,1,11,1,1,2010-02-10 17:29:21.970226-05
Test,Wiki,Sync Kit,13,368,21,1,12,1,1,2010-02-10 17:29:23.177511-05
Test,Wiki,Sync Kit,14,345,21,1,11,1,1,2010-02-10 17:29:24.497933-05
Test,Wiki,Sync Kit,14,264,0,0,11,1,1,2010-02-10 17:29:25.596083-05
Test,Wiki,Sync Kit,14,340,30,1,11,1,1,2010-02-10 17:29:26.794365-05
Test,Wiki,Sync Kit,2,355,20,2,11,1,1,2010-02-10 17:28:39.491755-05
Test,Wiki,Sync Kit,3,389,22,2,10,1,1,2010-02-10 17:28:42.081736-05
Test,Wiki,Sync Kit,6,327,20,1,11,1,1,2010-02-10 17:28:50.74653-05
Test,Wiki,Sync Kit,6,328,21,2,11,1,1,2010-02-10 17:28:57.191356-05
Test,Wiki,Sync Kit,7,401,22,2,11,1,1,2010-02-10 17:28:58.436525-05
Test,Wiki,Sync Kit,9,354,24,1,11,1,1,2010-02-10 17:29:03.436968-05
Test,Wiki,Sync Kit,11,331,0,0,11,1,1,2010-02-10 17:29:07.198045-05
Test,Wiki,Sync Kit,11,291,21,2,11,1,1,2010-02-10 17:29:08.334271-05
Test,Wiki,Sync Kit,11,344,33,2,11,1,1,2010-02-10 17:29:10.801994-05
Test,Wiki,Sync Kit,2,402,22,1,12,1,1,2010-02-10 17:29:36.964985-05
Test,Wiki,Sync Kit,2,344,21,2,11,1,1,2010-02-10 17:29:38.218144-05
Test,Wiki,Sync Kit,2,270,22,1,11,1,1,2010-02-10 17:29:39.351779-05
Test,Wiki,Sync Kit,3,300,22,2,11,1,1,2010-02-10 17:29:41.774078-05
Test,Wiki,Sync Kit,5,301,22,2,11,1,1,2010-02-10 17:29:47.917559-05
Test,Wiki,Sync Kit,6,318,22,2,11,1,1,2010-02-10 17:29:52.839654-05
Test,Wiki,Sync Kit,6,322,22,2,11,1,1,2010-02-10 17:29:54.005858-05
Test,Wiki,Sync Kit,8,333,22,2,11,1,1,2010-02-10 17:29:00.89193-05
Test,Wiki,Sync Kit,11,275,22,2,11,1,1,2010-02-10 17:29:05.911788-05
Test,Wiki,Sync Kit,11,334,21,2,11,1,1,2010-02-10 17:29:09.61083-05
Test,Wiki,Sync Kit,11,496,36,3,19,1,1,2010-02-10 17:29:12.260828-05
Test,Wiki,Sync Kit,11,275,0,0,20,1,1,2010-02-10 17:29:15.897512-05
Test,Wiki,Sync Kit,11,326,0,0,11,1,1,2010-02-10 17:29:17.086206-05
Test,Wiki,Sync Kit,1,570,25,80,11,1,1,2010-02-10 17:29:34.4355-05
Test,Wiki,Sync Kit,7,340,21,2,11,1,1,2010-02-10 17:29:55.316014-05
Test,Wiki,Sync Kit,8,291,0,0,10,1,1,2010-02-10 17:29:56.457086-05
Test,Wiki,Sync Kit,8,274,0,0,11,1,1,2010-02-10 17:29:57.579558-05
Test,Wiki,Sync Kit,8,286,0,0,11,1,1,2010-02-10 17:29:59.857438-05
Test,Wiki,Sync Kit,8,240,0,0,11,1,1,2010-02-10 17:30:00.934755-05
