test,page,strategy,visitnumber,ttr,datafetch,databulkload,templateparse,latency,bandwidth,date
Test,Wiki,Flying Templates,5,231,21,0,10,1,1,2010-02-09 22:41:01.312353-05
Test,Wiki,Flying Templates,6,297,20,0,10,1,1,2010-02-09 22:41:02.441793-05
Test,Wiki,Flying Templates,6,251,21,0,10,1,1,2010-02-09 22:41:03.520972-05
Test,Wiki,Flying Templates,6,271,20,0,10,1,1,2010-02-09 22:41:05.786865-05
Test,Wiki,Flying Templates,6,351,20,0,10,1,1,2010-02-09 22:41:06.974647-05
Test,Wiki,Flying Templates,11,260,24,0,11,1,1,2010-02-09 22:41:17.034455-05
Test,Wiki,Flying Templates,11,271,21,0,11,1,1,2010-02-09 22:41:23.797414-05
Test,Wiki,Flying Templates,13,331,21,0,10,1,1,2010-02-09 22:42:16.690704-05
Test,Wiki,Flying Templates,2,339,75,0,10,1,1,2010-02-09 22:42:21.1969-05
Test,Wiki,Flying Templates,6,261,22,0,11,1,1,2010-02-09 22:42:26.699339-05
Test,Wiki,Flying Templates,6,290,21,0,10,1,1,2010-02-09 22:42:27.819258-05
Test,Wiki,Flying Templates,15,284,22,0,10,1,1,2010-02-09 22:42:43.329011-05
Test,Wiki,Flying Templates,15,222,26,0,10,1,1,2010-02-09 22:42:44.377144-05
Test,Wiki,Flying Templates,15,293,21,0,10,1,1,2010-02-09 22:42:45.507512-05
Test,Wiki,Flying Templates,1,229,22,0,10,1,1,2010-02-09 22:42:46.5866-05
Test,Wiki,Flying Templates,3,276,21,0,11,1,1,2010-02-09 22:42:49.972703-05
Test,Wiki,Flying Templates,4,222,22,0,10,1,1,2010-02-09 22:42:51.038806-05
Test,Wiki,Flying Templates,5,298,22,0,10,1,1,2010-02-09 22:42:52.183264-05
Test,Wiki,Flying Templates,10,240,22,0,10,1,1,2010-02-09 22:42:57.683039-05
Test,Wiki,Flying Templates,8,314,21,0,10,1,1,2010-02-09 22:41:11.475251-05
Test,Wiki,Flying Templates,8,249,20,0,11,1,1,2010-02-09 22:41:12.553395-05
Test,Wiki,Flying Templates,9,306,20,0,11,1,1,2010-02-09 22:41:13.696603-05
Test,Wiki,Flying Templates,10,251,21,0,10,1,1,2010-02-09 22:41:14.775119-05
Test,Wiki,Flying Templates,11,260,20,0,11,1,1,2010-02-09 22:41:26.050252-05
Test,Wiki,Flying Templates,12,317,21,0,10,1,1,2010-02-09 22:41:27.21713-05
Test,Wiki,Flying Templates,12,254,21,0,10,1,1,2010-02-09 22:41:28.30849-05
Test,Wiki,Flying Templates,1,268,22,0,10,1,1,2010-02-09 22:41:41.916266-05
Test,Wiki,Flying Templates,1,305,20,0,10,1,1,2010-02-09 22:41:43.047418-05
Test,Wiki,Flying Templates,2,307,21,0,10,1,1,2010-02-09 22:41:47.503619-05
Test,Wiki,Flying Templates,7,363,75,0,10,1,1,2010-02-09 22:42:00.955354-05
Test,Wiki,Flying Templates,9,313,22,0,10,1,1,2010-02-09 22:42:09.900776-05
Test,Wiki,Flying Templates,14,249,22,0,11,1,1,2010-02-09 22:42:17.767163-05
