test,page,strategy,visitnumber,ttr,datafetch,databulkload,templateparse,latency,bandwidth,date
Test,Blog,Traditional,24,268,0,0,0,1,1,2010-02-10 11:32:33.591011-05
Test,Blog,Traditional,4,375,0,0,0,1,1,2010-02-10 11:31:37.123176-05
Test,Blog,Traditional,7,351,0,0,0,1,1,2010-02-10 11:31:40.933493-05
Test,Blog,Traditional,9,397,0,0,0,1,1,2010-02-10 11:31:43.400634-05
Test,Blog,Traditional,20,420,0,0,0,1,1,2010-02-10 11:31:56.607053-05
Test,Blog,Traditional,24,399,0,0,0,1,1,2010-02-10 11:32:01.384307-05
Test,Blog,Traditional,25,355,0,0,0,1,1,2010-02-10 11:32:02.583936-05
Test,Blog,Traditional,26,369,0,0,0,1,1,2010-02-10 11:32:03.794688-05
Test,Blog,Traditional,8,292,0,0,0,1,1,2010-02-10 11:32:14.446328-05
Test,Blog,Traditional,12,291,0,0,0,1,1,2010-02-10 11:32:19.371211-05
Test,Blog,Traditional,13,345,0,0,0,1,1,2010-02-10 11:32:20.559421-05
Test,Blog,Traditional,16,272,0,0,0,1,1,2010-02-10 11:32:24.103695-05
Test,Blog,Traditional,17,382,0,0,0,1,1,2010-02-10 11:32:25.325249-05
Test,Blog,Traditional,4,422,0,0,0,1,1,2010-02-10 11:32:38.490217-05
Test,Blog,Traditional,18,336,0,0,0,1,1,2010-02-10 11:32:55.17661-05
Test,Blog,Traditional,19,441,0,0,0,1,1,2010-02-10 11:32:56.466404-05
Test,Blog,Traditional,26,261,0,0,0,1,1,2010-02-10 11:33:04.742397-05
Test,Blog,Traditional,1,386,0,0,0,1,1,2010-02-10 11:33:05.974246-05
Test,Blog,Traditional,4,326,0,0,0,1,1,2010-02-10 11:33:09.507865-05
Test,Blog,Traditional,8,271,0,0,0,1,1,2010-02-10 11:33:14.15176-05
Test,Blog,Traditional,11,359,0,0,0,1,1,2010-02-10 11:33:17.795244-05
Test,Blog,Traditional,15,381,0,0,0,1,1,2010-02-10 11:33:22.727332-05
Test,Blog,Traditional,17,434,0,0,0,1,1,2010-02-10 11:33:25.183092-05
Test,Blog,Traditional,18,292,0,0,0,1,1,2010-02-10 11:33:26.316586-05
Test,Blog,Traditional,23,371,0,0,0,1,1,2010-02-10 11:33:32.305634-05
Test,Blog,Traditional,24,398,0,0,0,1,1,2010-02-10 11:34:03.510403-05
Test,Blog,Traditional,1,366,0,0,0,1,1,2010-02-10 11:34:09.445675-05
Test,Blog,Traditional,11,316,0,0,0,1,1,2010-02-10 11:34:21.630844-05
Test,Blog,Traditional,14,366,0,0,0,1,1,2010-02-10 11:34:25.251672-05
Test,Blog,Traditional,15,274,0,0,0,1,1,2010-02-10 11:34:26.363551-05
Test,Blog,Traditional,18,369,0,0,0,1,1,2010-02-10 11:34:29.951242-05
Test,Blog,Traditional,24,364,0,0,0,1,1,2010-02-10 11:34:36.927789-05
Test,Blog,Traditional,27,346,0,0,0,1,1,2010-02-10 11:34:40.461386-05
Test,Blog,Traditional,28,369,0,0,0,1,1,2010-02-10 11:34:41.671583-05
Test,Blog,Traditional,30,351,0,0,0,1,1,2010-02-10 11:34:44.004967-05
Test,Blog,Traditional,32,354,0,0,0,1,1,2010-02-10 11:34:46.304599-05
Test,Blog,Traditional,4,403,0,0,0,1,1,2010-02-10 11:34:51.114926-05
Test,Blog,Traditional,6,359,0,0,0,1,1,2010-02-10 11:34:53.558714-05
Test,Blog,Traditional,7,255,0,0,0,1,1,2010-02-10 11:34:54.648369-05
Test,Blog,Traditional,18,383,0,0,0,1,1,2010-02-10 11:35:07.50146-05
Test,Blog,Traditional,20,369,0,0,0,1,1,2010-02-10 11:35:09.856056-05
Test,Blog,Traditional,21,276,0,0,0,1,1,2010-02-10 11:35:10.967597-05
Test,Blog,Traditional,1,380,0,0,0,1,1,2010-02-10 11:35:14.544401-05
Test,Blog,Traditional,2,271,0,0,0,1,1,2010-02-10 11:35:15.655893-05
Test,Blog,Traditional,4,284,0,0,0,1,1,2010-02-10 11:35:18.011544-05
Test,Blog,Traditional,6,276,0,0,0,1,1,2010-02-10 11:35:20.322362-05
Test,Blog,Traditional,21,426,0,0,0,1,1,2010-02-10 11:35:37.886423-05
Test,Blog,Traditional,19,349,0,0,0,1,1,2010-02-10 11:33:27.516081-05
Test,Blog,Traditional,20,332,0,0,0,1,1,2010-02-10 11:33:28.694075-05
Test,Blog,Traditional,25,395,0,0,0,1,1,2010-02-10 11:33:34.75933-05
Test,Blog,Traditional,1,440,0,0,0,1,1,2010-02-10 11:33:36.048506-05
Test,Blog,Traditional,3,358,0,0,0,1,1,2010-02-10 11:33:38.467029-05
Test,Blog,Traditional,5,307,0,0,0,1,1,2010-02-10 11:33:40.859189-05
Test,Blog,Traditional,12,369,0,0,0,1,1,2010-02-10 11:33:49.29074-05
Test,Blog,Traditional,18,412,0,0,0,1,1,2010-02-10 11:33:56.467241-05
Test,Blog,Traditional,2,391,0,0,0,1,1,2010-02-10 11:34:10.698577-05
Test,Blog,Traditional,3,281,0,0,0,1,1,2010-02-10 11:34:11.809308-05
Test,Blog,Traditional,16,407,0,0,0,1,1,2010-02-10 11:34:27.618003-05
Test,Blog,Traditional,17,288,0,0,0,1,1,2010-02-10 11:34:28.740684-05
Test,Blog,Traditional,19,263,0,0,0,1,1,2010-02-10 11:34:31.043833-05
Test,Blog,Traditional,20,349,0,0,0,1,1,2010-02-10 11:34:32.228473-05
Test,Blog,Traditional,21,273,0,0,0,1,1,2010-02-10 11:34:33.32855-05
Test,Blog,Traditional,31,268,0,0,0,1,1,2010-02-10 11:34:45.104504-05
Test,Blog,Traditional,1,324,0,0,0,1,1,2010-02-10 11:34:47.47156-05
Test,Blog,Traditional,2,406,0,0,0,1,1,2010-02-10 11:34:48.714792-05
Test,Blog,Traditional,3,295,0,0,0,1,1,2010-02-10 11:34:49.848881-05
Test,Blog,Traditional,5,391,0,0,0,1,1,2010-02-10 11:34:52.359692-05
Test,Blog,Traditional,9,283,0,0,0,1,1,2010-02-10 11:34:57.03659-05
Test,Blog,Traditional,3,382,0,0,0,1,1,2010-02-10 11:35:16.888641-05
Test,Blog,Traditional,5,357,0,0,0,1,1,2010-02-10 11:35:19.210558-05
Test,Blog,Traditional,15,333,0,0,0,1,1,2010-02-10 11:35:30.853642-05
Test,Blog,Traditional,2,381,0,0,0,1,1,2010-02-10 11:35:48.79597-05
Test,Blog,Traditional,21,389,0,0,0,1,1,2010-02-10 11:33:29.937449-05
Test,Blog,Traditional,22,305,0,0,0,1,1,2010-02-10 11:33:31.083237-05
Test,Blog,Traditional,6,381,0,0,0,1,1,2010-02-10 11:33:42.080675-05
Test,Blog,Traditional,9,363,0,0,0,1,1,2010-02-10 11:33:45.7029-05
Test,Blog,Traditional,14,366,0,0,0,1,1,2010-02-10 11:33:51.723502-05
Test,Blog,Traditional,19,294,0,0,0,1,1,2010-02-10 11:33:57.601099-05
Test,Blog,Traditional,25,299,0,0,0,1,1,2010-02-10 11:34:04.643966-05
Test,Blog,Traditional,26,368,0,0,0,1,1,2010-02-10 11:34:05.865423-05
Test,Blog,Traditional,27,286,0,0,0,1,1,2010-02-10 11:34:06.988627-05
Test,Blog,Traditional,5,397,0,0,0,1,1,2010-02-10 11:34:14.309475-05
Test,Blog,Traditional,6,492,0,0,0,1,1,2010-02-10 11:34:15.641979-05
Test,Blog,Traditional,22,363,0,0,0,1,1,2010-02-10 11:34:34.539432-05
Test,Blog,Traditional,25,284,0,0,0,1,1,2010-02-10 11:34:38.04705-05
Test,Blog,Traditional,8,428,0,0,0,1,1,2010-02-10 11:34:55.925849-05
Test,Blog,Traditional,19,304,0,0,0,1,1,2010-02-10 11:35:08.63578-05
Test,Blog,Traditional,23,320,0,0,0,1,1,2010-02-10 11:35:13.322731-05
Test,Blog,Traditional,8,313,0,0,0,1,1,2010-02-10 11:35:22.688359-05
Test,Blog,Traditional,13,379,0,0,0,1,1,2010-02-10 11:35:28.531737-05
Test,Blog,Traditional,14,298,0,0,0,1,1,2010-02-10 11:35:29.676646-05
Test,Blog,Traditional,16,268,0,0,0,1,1,2010-02-10 11:35:31.954481-05
