file,strategy,frequency,highest_rate,attempted_rate,avg_data
gzip-500k,blah,blah,98.400000,100,385344.000000
static-100k,blah,blah,1133.600000,1153,102645.000000
gzip-100k,blah,blah,528.300000,530,77295.000000
static-500k,blah,blah,228.400000,232,512245.000000
gzip-static-100k,blah,blah,1263.600000,1270,77228.000000
gzip-static-200k,blah,blah,757.100000,773,154152.000000
gzip-200k,blah,blah,253.500000,258,154298.000000
gzip-static-500k,blah,blah,303.800000,310,384972.000000
static-200k,blah,blah,569.900000,582,205045.000000
